strategy,model,feature_count,n_cores,n_rows,background_size,repeat_idx,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,runs,mean_elapsed_minutes,mean_energy_kwh,energy_delay_product
joblib,LogisticRegression,15,1,100,25,0,6.022432700032368,0.0,86.9151139999913,0.0,1,0.1003738783338728,2.4143087222219806e-05,523.4404246805888
joblib,LogisticRegression,15,1,100,25,2,3.917767899984028,0.0,88.51564899927666,0.0,1,0.06529613166640047,2.458768027757685e-05,346.7837682956195
threading,LogisticRegression,15,1,100,25,2,3.994711700011976,0.0,90.02077299921085,0.0,1,0.06657852833353294,2.500577027755857e-05,359.60703514406976
serial,LogisticRegression,15,1,100,25,0,6.3327923999750055,0.0,92.7710839999478,0.0,1,0.10554653999958342,2.5769745555541058e-05,587.5000156923123
threading,LogisticRegression,15,1,100,25,0,6.377760600007605,0.0,94.82574599997476,0.0,1,0.10629601000012674,2.634048499999299e-05,604.7759067049677
serial,LogisticRegression,15,1,100,25,2,3.922560299979523,0.0,95.06913999934864,0.0,1,0.06537600499965872,2.640809444426351e-05,372.91443431464023
joblib,LogisticRegression,15,1,100,50,2,5.0050260000280105,0.0,111.27380200099957,0.0,1,0.08341710000046684,3.09093894447221e-05,556.9282721369717
threading,LogisticRegression,15,1,100,50,2,5.098005799984094,0.0,113.1619100003478,0.0,1,0.08496676333306823,3.14338638889855e-05,576.9000735190511
joblib,LogisticRegression,15,1,100,50,1,4.983429300016724,0.0,114.08294400211405,0.0,1,0.08305715500027873,3.16897066672539e-05,568.5242857723023
threading,LogisticRegression,15,1,100,50,1,5.075826199958101,0.0,116.56262900069936,0.0,1,0.08459710333263501,3.237850805574982e-05,591.6516462177458
serial,LogisticRegression,15,1,100,50,2,5.055504700052552,0.0,116.71640300148223,0.0,1,0.08425841166754253,3.2421223055967285e-05,590.0603239472213
joblib,LogisticRegression,30,1,100,25,2,5.344804399996065,0.0,117.43263299959229,0.0,1,0.08908007333326774,3.262017583322008e-05,627.6544535593439
threading,LogisticRegression,30,1,100,25,2,5.448473199969158,0.0,118.18292299892175,0.0,1,0.09080788666615262,3.282858972192271e-05,643.9164886536438
threading,LogisticRegression,15,2,100,25,2,5.270737399987411,0.0,118.86073100014772,0.0,1,0.08784562333312351,3.3016869722263253e-05,626.4837002723217
serial,LogisticRegression,15,1,100,50,1,4.9700889000087045,0.0,119.24332200057842,0.0,1,0.08283481500014507,3.312314500016067e-05,592.6499110752385
serial,LogisticRegression,30,1,100,25,2,5.416900000011083,0.0,120.6467159981406,0.0,1,0.09028166666685138,3.351297666615017e-05,653.531195891665
serial,LogisticRegression,30,1,100,25,0,8.270380500005558,0.0,122.8680250016892,0.0,1,0.13783967500009264,3.4130006944913666e-05,1016.1653180481658
multiprocessing,LogisticRegression,15,2,100,25,2,5.34984959999565,0.0,131.32972599956273,0.0,1,0.08916415999992751,3.648047944432298e-05,702.594282106299
joblib,LogisticRegression,15,2,100,50,1,5.956821399973705,0.0,135.65084900177823,0.0,1,0.09928035666622842,3.7680791389382844e-05,808.0478802583943
joblib,LogisticRegression,15,2,100,50,2,5.91166429995792,0.0,137.0440649986482,0.0,1,0.098527738332632,3.806779583295783e-05,810.1585065736213
